food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,image
dessert wine dry,760.0,0.0,0.0,0.0,0.0,58.4,5.5,1.0,76.5,0.0,0.0,0.062,362.7,0.0,0.033,0.0,0.0,0.096,1.1,0.2,0.0,0.0,0.0,0.0,0.0,40.0,0.2,1.2,45.0,0.6,45.0,460.0,0.066,498.8,0
hyacinth beans cooked,227.0,1.1,0.2,0.076,0.5,40.2,0.0,15.8,0.0,0.0,0.0,0.003,134.1,0.0,0.5,0.023,0.0,0.001,0.8,0.6,0.014,0.0,0.0,0.0,0.0,77.6,0.7,8.9,159.1,0.9,232.8,653.8,0.021,191.981,0
muller thurgau white wine,112.0,0.0,0.0,0.0,0.0,5.2,0.0,0.1,13.3,0.0,0.0,0.0,129.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.8,0
gamay red wine,115.0,0.0,0.0,0.0,0.0,3.5,0.0,0.1,14.4,0.0,0.0,0.0,128.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.6,0
semillon white wine,121.0,0.0,0.0,0.0,0.0,4.6,0.0,0.1,14.9,0.0,0.0,0.0,128.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.7,0
lemberger red wine,118.0,0.0,0.0,0.0,0.0,3.6,0.0,0.1,15.0,0.0,0.0,0.0,127.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.6,0
fume blanc white wine,121.0,0.0,0.0,0.0,0.0,3.3,0.0,0.1,15.4,0.0,0.0,0.0,127.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.7,0
claret red wine,122.0,0.0,0.0,0.0,0.0,4.4,0.0,0.1,15.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.5,0
petite sirah red wine,125.0,0.0,0.0,0.0,0.0,3.9,0.0,0.1,15.7,0.0,0.0,0.0,126.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.4,0
mouvedre red wine,129.0,0.0,0.0,0.0,0.0,3.9,0.0,0.1,16.5,0.0,0.0,0.0,126.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.6,0
late harvest white wine,172.0,0.0,0.0,0.0,0.0,20.6,0.0,0.1,13.1,0.0,0.0,0.0,119.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.6,0
smoothie high protein creamy chocolate slimfast,110.0,3.5,0.5,0.0,0.0,2.1,1.0,12.0,0.0,5.0,0.2,15.0,45.0,25.0,100.0,25.0,35.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.6,0
lamb liver cooked,739.0,29.6,11.5,6.2,4.4,8.5,0.0,102.7,0.0,1683.4,0.2,190.4,25.2,0.8,0.2,0.3,13.5,40.8,13.3,1.6,13.4,0.0,0.0,0.0,26.9,23.8,27.8,73.9,1.7,1411.2,742.6,0.4,26.5,234.1,0
pork liver cooked,584.0,15.6,5.0,2.2,3.7,13.3,0.0,92.1,0.0,1256.7,0.2,227.7,19.1,0.9,0.6,0.071,7.8,29.9,16.9,2.0,83.5,0.0,0.0,0.0,35.4,2.2,63.4,49.6,1.1,853.1,531.0,0.2,23.8,322.4,0
goose liver,125.0,4.0,1.5,0.8,0.2,5.9,0.0,15.4,0.0,484.1,0.1,67.5,8.8,0.5,0.7,0.022,0.8,6.1,5.8,0.7,4.2,0.0,0.0,0.0,40.4,7.1,28.7,22.6,0.0,245.3,216.2,0.067,2.9,107.4,0
turkey liver cooked,100.0,4.3,1.2,0.6,1.1,0.0,0.0,14.3,0.0,343.4,0.083,33.9,5.7,0.1,0.4,0.096,1.4,5.9,2.3,0.5,12.0,0.0,0.083,0.068,10.1,0.6,0.9,13.8,0.2,165.4,81.1,0.022,2.4,47.3,0
duck liver raw,60.0,2.0,0.6,0.3,0.3,1.6,0.0,8.2,0.0,226.6,0.089,31.6,5.3,0.2,0.3,0.046,0.4,2.9,2.7,0.3,2.0,0.0,0.0,0.0,4.8,2.6,13.4,10.6,0.1,118.4,101.2,0.069,1.4,37.3,0
t bone steak cooked,1049.0,74.1,30.3,33.3,3.3,0.0,0.0,89.3,0.0,301.3,0.2,197.8,4.6,0.0,0.2,0.042,0.046,0.8,19.9,1.1,2.4,0.0,0.095,0.0,0.0,69.0,0.2,11.8,65.3,0.001,729.6,900.2,0.041,170.6,0
cod liver fish oil,123.0,13.6,3.1,6.4,3.1,0.0,0.0,0.0,0.0,77.5,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,0
chuck eye steak grilled,853.0,60.5,26.7,29.1,4.4,0.0,0.0,76.9,0.0,268.0,0.2,170.1,4.0,0.012,0.2,0.083,0.085,0.6,14.4,2.3,1.1,0.0,0.093,0.3,0.02,49.3,0.2,7.5,67.8,0.045,594.4,1001.0,0.012,142.79,0
soy margarine,88.0,9.9,3.2,5.2,1.1,0.0,0.0,0.0,0.0,0.0,0.1,3.9,2.7,0.0,0.006,0.058,0.0,0.035,0.0,0.041,0.051,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.642,0
eel raw,375.0,23.8,4.8,14.7,1.9,0.0,0.0,37.6,0.0,257.0,0.1,139.3,2.1,0.3,0.049,0.061,0.002,7.1,0.5,0.1,3.7,0.01,8.2,0.0,40.8,0.069,1.0,40.8,0.038,440.6,554.9,0.011,3.3,109.0,0
margarine with salt,100.0,11.3,2.1,5.4,3.4,0.017,0.0,0.031,0.0,0.0,0.1,2.3,2.1,0.1,0.001,0.063,0.08,0.094,0.054,0.0,0.036,0.013,0.0,1.3,0.068,0.4,0.0,0.059,0.4,0.0,0.7,2.5,0.0,13.618,0
margarine,102.0,11.5,2.2,5.5,3.5,0.018,0.0,0.037,0.0,0.0,0.091,2.3,2.1,0.1,0.084,0.065,0.02,0.093,0.034,0.0,0.076,0.098,0.0,1.3,0.059,0.4,0.0,0.073,0.4,0.0,0.7,2.6,0.0,13.719,0
beef under blade steak cooked,983.0,46.7,17.9,22.6,2.3,0.0,0.0,140.8,0.0,480.4,0.3,260.9,1.9,0.002,0.3,0.03,0.068,1.1,17.9,3.5,1.5,0.0,0.022,0.4,0.044,62.9,0.5,14.4,98.8,0.085,929.4,1382.9,0.2,191.483,0
beef plate steak grilled,508.0,35.6,12.9,14.3,2.0,0.0,0.0,47.1,0.0,177.5,0.1,89.5,1.7,0.021,0.2,0.017,0.054,1.4,8.9,2.3,0.8,0.0,0.011,0.2,0.047,13.9,0.4,8.9,41.8,0.4,321.9,487.2,0.088,85.652,0
pork backribs roasted,2564.0,188.9,68.5,81.6,31.0,0.0,0.0,202.0,0.0,737.5,0.8,481.3,1.7,0.023,4.0,0.0,0.08,2.9,67.0,11.1,3.6,0.0,0.068,2.2,0.0,403.9,0.9,8.1,149.3,0.065,1448.7,2107.2,0.3,397.1,0
double cheeseburger,643.0,36.9,15.9,13.7,3.0,41.0,9.5,37.0,2.1,114.0,0.9,107.5,1.6,0.1,0.5,0.1,0.062,0.5,7.9,0.6,0.5,6.6,0.033,0.8,0.054,342.0,0.2,5.4,47.9,0.3,376.2,515.3,0.017,119.347,0
ground beef cooked,375.0,24.8,10.0,12.0,0.7,0.0,0.0,35.5,0.0,122.3,0.1,77.5,1.6,0.0,0.007,0.098,0.06,0.3,6.8,1.1,0.6,0.0,0.0,0.7,0.052,57.0,0.1,3.4,27.8,0.044,280.8,455.9,0.081,62.697,0
double hamburger,942.0,58.6,21.6,22.9,11.3,51.4,13.2,52.1,5.2,172.0,1.1,206.8,1.5,0.0,0.7,0.2,0.036,0.7,12.1,0.7,0.4,0.7,0.059,2.5,0.094,130.9,0.4,10.5,67.3,0.7,415.1,718.1,0.026,169.626,0
bluefin tuna cooked,276.0,9.4,2.4,3.1,2.8,0.0,0.0,44.9,0.0,73.5,0.02,88.6,1.1,0.4,0.034,0.062,0.5,15.8,2.1,0.8,0.0,0.0,0.0,0.0,15.0,0.2,2.0,96.0,0.028,489.0,484.5,0.036,1.2,72.4,0
beef top loin filet grilled,323.0,19.0,6.5,8.6,0.6,0.8,0.0,37.0,0.0,116.1,0.1,76.7,0.9,0.063,0.1,0.018,0.016,0.4,5.6,0.0,0.6,0.0,0.03,0.0,0.019,9.5,0.2,4.5,36.5,0.0,318.6,507.6,0.077,58.507,0
gjetost cheese,1058.0,67.0,43.5,17.9,2.1,96.8,0.0,21.9,0.0,213.4,1.4,30.5,0.8,0.7,0.076,0.047,3.1,1.8,7.6,0.6,0.0,0.0,0.0,0.0,908.0,0.2,1.2,158.9,0.035,1007.9,3198.4,0.039,2.6,1095.7,0
pork centre rib roasts roasted,1942.0,114.9,42.6,48.4,19.4,0.0,0.0,211.3,0.0,610.7,0.7,452.3,0.8,0.041,4.1,0.0,0.018,2.3,74.3,11.6,3.8,0.0,0.094,1.6,0.0,148.8,0.7,7.5,164.4,0.063,1800.9,2129.8,0.3,331.5,0
cheese spread,708.0,68.6,43.2,19.4,2.5,8.4,8.4,17.0,0.0,216.0,1.2,140.4,0.7,0.071,0.027,0.011,0.5,2.3,0.0,0.051,0.0,0.091,1.8,0.098,170.4,0.02,2.7,14.4,0.0,218.4,268.8,0.065,1.2,267.8,0
enchilada with cheese,374.0,25.3,11.5,6.4,3.8,21.2,3.6,15.4,2.6,57.5,0.7,71.8,0.7,0.3,0.081,0.073,0.036,0.3,0.9,1.3,0.2,0.8,0.0,1.8,0.0,430.2,0.2,0.9,39.7,0.2,367.2,191.8,0.03,65.6,0
banana cream pie,3190.0,161.3,44.6,67.8,39.0,390.2,143.0,52.2,8.3,604.9,2.8,568.1,0.7,1.6,0.3,0.006,2.5,12.5,4.6,1.6,19.0,0.009,4.7,0.069,889.5,0.6,12.3,189.8,1.8,1091.1,1956.9,0.1,5.7,1533.5,0
microwave popcorn,465.0,26.3,12.7,9.2,3.6,49.8,0.3,7.3,8.7,0.0,0.6,0.8,0.7,0.072,0.073,0.034,0.0,0.073,1.4,0.2,0.3,0.0,0.0,2.5,0.052,20.0,0.2,1.8,95.7,0.7,239.3,341.9,0.004,93.352,0
pork top loin roasts roasted,1628.0,74.8,24.1,29.8,8.5,0.0,0.0,224.3,0.0,678.4,0.4,540.7,0.7,0.011,4.6,0.0,0.051,2.0,60.2,5.7,5.9,0.0,0.017,0.9,0.0,59.4,0.7,5.4,212.0,0.052,1891.0,2959.5,0.3,306.4,0
roast beef sandwich,364.0,15.3,5.1,5.9,2.6,33.1,5.7,22.6,1.9,44.7,1.0,74.4,0.6,0.035,0.3,0.015,0.012,0.4,6.5,0.9,0.3,0.0,0.0,0.6,0.039,82.0,0.1,3.9,34.3,0.1,298.0,333.8,0.055,73.951,0
sirloin steak,324.0,14.1,5.2,6.1,1.1,0.0,0.0,49.5,0.0,144.4,0.6,99.9,0.6,0.0,0.1,0.0,0.051,0.6,9.4,1.5,1.1,0.0,0.0,0.9,0.0,16.6,0.2,4.3,44.8,0.082,381.8,629.1,0.083,65.5,0
duck meat raw,5123.0,498.8,167.6,237.0,64.4,0.0,0.0,145.7,0.0,963.7,0.8,615.0,0.6,2.5,0.2,0.048,2.7,49.9,12.1,2.4,35.5,0.088,8.9,0.025,139.5,3.0,30.4,190.2,0.2,1762.5,2650.1,0.2,17.2,850.5,0
cheeseburger,292.0,13.2,6.0,5.1,1.4,28.7,5.9,15.0,1.6,41.4,0.6,55.3,0.5,0.087,0.4,0.083,0.091,0.2,3.5,0.3,1.1,0.7,0.042,0.3,0.04,105.8,0.1,3.2,25.3,0.3,154.1,204.7,0.021,60.289,0
sandwich with cold cuts,833.0,39.3,13.9,14.5,7.5,79.9,12.4,41.1,4.7,105.6,2.2,221.0,0.5,0.004,1.3,0.4,0.051,1.0,16.9,1.5,0.8,29.3,0.012,1.6,0.023,668.6,0.5,7.1,78.2,0.9,437.9,1102.6,0.065,166.871,0
hamburger burger king,258.0,10.4,3.8,4.2,1.2,26.5,5.5,14.7,2.0,34.7,0.5,45.5,0.5,0.0,0.3,0.026,0.0,0.2,3.9,0.2,0.056,0.2,0.0,0.068,0.049,75.2,0.1,2.8,24.8,0.3,124.7,214.8,0.055,54.28,0
chinook salmon raw,709.0,41.3,12.3,17.4,11.1,0.0,0.0,78.9,0.0,198.0,0.2,283.7,0.5,0.2,0.1,0.077,0.4,33.3,3.0,1.6,15.8,0.0,4.8,0.0,103.0,0.2,1.0,376.2,0.034,1144.4,1560.2,0.1,1.7,240.5,0
chinook salmon cooked,711.0,41.2,9.9,17.7,8.2,0.0,0.0,79.2,0.0,261.8,0.2,202.0,0.5,0.1,0.1,0.065,0.5,30.9,2.7,1.4,12.6,0.0,0.0,0.0,86.2,0.2,2.8,375.8,0.074,1142.7,1555.4,0.1,1.7,222.5,0
port salut cheese,465.0,37.2,22.0,12.3,1.0,0.8,0.8,31.4,0.0,162.4,0.7,60.0,0.4,0.012,0.035,0.067,0.3,0.019,0.3,0.08,0.0,0.057,0.3,0.094,858.0,0.062,0.6,31.7,0.095,475.2,179.5,0.015,3.4,928.4,0
muenster cheese,486.0,39.7,25.2,11.5,0.9,1.5,1.5,30.9,0.0,126.7,0.8,55.1,0.4,0.016,0.009,0.085,0.4,0.1,0.3,0.072,0.0,0.065,0.3,0.056,946.4,0.008,0.5,35.6,0.093,617.8,176.9,0.059,3.7,1019.4,0
omelet,94.0,7.1,2.0,3.0,1.7,0.4,0.2,6.4,0.0,190.9,0.013,46.4,0.4,0.1,0.006,0.041,0.055,0.2,0.09,0.8,0.003,0.0,0.098,0.8,0.05,29.3,0.07,0.9,6.7,0.031,101.9,71.4,0.03,14.377,0
chili con carne,271.0,8.8,3.2,3.6,1.0,33.1,4.7,14.7,8.3,22.8,1.1,191.5,0.4,0.095,0.049,0.005,0.091,0.029,2.0,3.6,0.3,0.5,0.0,1.3,0.063,83.5,0.6,3.4,70.8,0.4,220.1,667.9,0.039,66.245,0
nachos with cheese jalapeno peppers,608.0,34.1,14.0,14.4,4.0,60.1,0.0,16.8,0.0,83.6,1.7,87.1,0.4,0.1,0.044,0.05,0.5,2.8,2.4,0.4,1.0,0.0,0.0,0.0,620.2,0.2,2.4,108.1,0.4,393.7,293.8,0.083,2.9,735.0,0
hamburger,255.0,9.9,3.5,3.7,1.3,28.7,5.8,12.9,1.7,28.1,0.5,43.5,0.4,0.088,0.3,0.082,0.092,0.2,3.9,0.3,0.1,0.3,0.041,0.053,0.068,112.5,0.027,2.8,21.3,0.2,106.7,191.1,0.017,53.859,0
hamburger mcdonalds,251.0,9.6,3.3,3.6,1.3,28.8,5.7,12.3,1.2,25.7,0.5,42.3,0.4,0.0,0.2,0.03,0.008,0.2,4.3,0.0,0.0,0.6,0.0,0.0,0.0,120.7,0.049,2.7,20.0,0.3,101.7,182.4,0.066,52.357,0
sturgeon cooked,184.0,7.0,1.6,3.4,1.2,0.0,0.0,28.2,0.0,104.7,0.019,95.1,0.4,0.1,0.072,0.087,0.1,13.7,1.2,0.3,0.0,0.073,0.9,0.039,23.1,0.054,1.2,61.2,0.038,368.6,495.0,0.044,0.7,59.9,0
sablefish raw,753.0,59.1,12.4,31.1,7.9,0.0,0.0,51.8,0.0,189.1,0.2,274.1,0.4,0.4,0.094,0.1,0.3,15.4,2.9,1.2,0.0,0.0,0.0,0.0,135.1,0.037,4.9,212.3,0.077,648.5,1381.9,0.1,1.2,251.3,0
vanilla wafer pie crust,935.0,63.7,13.1,27.5,18.8,88.4,12.9,6.5,0.2,68.6,0.9,15.0,0.4,0.3,0.071,0.081,0.4,3.7,0.5,0.082,0.2,0.059,5.4,0.028,73.9,0.1,2.9,17.6,0.3,137.3,139.0,0.009,0.4,236.2,0
beef bologna,90.0,7.8,3.1,3.7,0.4,1.3,0.6,3.3,0.0,17.1,0.3,16.6,0.4,0.043,0.019,0.052,0.031,0.014,0.7,0.1,0.085,4.6,0.083,0.2,0.053,6.3,0.01,0.4,3.9,0.055,46.2,105.3,0.018,12.962,0
veal kidneys cooked,300.0,10.4,3.2,2.3,2.1,0.0,0.0,48.4,0.0,1455.4,0.2,124.5,0.4,0.3,0.056,0.002,3.7,8.5,1.6,0.3,14.7,0.0,0.0,0.0,53.4,0.7,5.6,44.2,0.2,684.5,292.6,0.2,7.8,132.9,0
pork blade steak braised,694.0,44.7,16.6,20.1,5.3,0.087,0.0,68.2,0.0,256.1,0.4,148.2,0.4,0.0,1.1,0.0,0.1,0.9,9.5,3.5,1.2,0.0,0.032,0.3,0.0,71.3,0.5,4.5,52.8,0.06,599.3,976.8,0.1,115.063,0
pheasant meat raw,1448.0,74.3,21.6,34.6,9.4,0.0,0.0,181.6,0.0,568.0,0.3,542.2,0.4,0.6,0.064,0.015,1.1,51.4,7.4,5.3,42.4,0.0,0.0,0.0,96.0,0.5,9.2,160.0,0.1,1712.0,1944.0,0.1,7.7,403.9,0
chicken meat raw,1978.0,138.6,39.7,57.4,29.7,0.0,0.0,171.1,0.0,690.0,0.6,607.1,0.4,0.6,0.039,0.069,1.1,62.6,8.4,3.2,14.7,0.054,2.8,0.054,101.2,0.4,8.3,184.0,0.2,1352.4,1738.8,0.1,12.1,434.3,0
queso fresco cheese,365.0,29.1,15.8,7.3,1.3,3.6,2.8,22.1,0.0,84.2,0.9,62.7,0.3,0.019,0.029,0.076,0.2,0.05,0.4,0.06,0.0,0.055,0.5,0.087,690.5,0.025,0.2,29.3,0.053,469.7,157.4,0.073,3.1,745.8,0
pimento cheese,525.0,43.7,27.5,12.5,1.4,2.4,0.9,31.0,0.1,131.6,2.0,54.7,0.3,0.023,0.043,0.016,0.5,0.1,0.7,0.011,3.2,0.099,0.4,0.086,859.6,0.032,0.6,30.8,0.031,1041.6,226.8,0.089,4.2,940.9,0
provolone cheese,463.0,35.1,22.5,9.8,1.0,2.8,0.7,33.8,0.0,91.1,1.2,54.1,0.3,0.013,0.017,0.005,0.4,0.2,0.6,0.052,0.0,0.028,0.3,0.001,997.9,0.011,0.7,37.0,0.033,654.7,182.2,0.017,4.3,1070.6,0
baked potato with cheese sauce,474.0,28.7,10.6,10.7,6.0,46.5,0.0,14.6,0.0,17.8,0.4,194.6,0.3,0.2,0.078,0.01,0.2,3.3,1.3,0.7,26.0,0.0,0.0,0.0,310.8,0.6,3.0,65.1,0.5,319.7,1166.2,0.042,1.9,429.9,0
beef vegetable soup,120.0,2.9,1.0,0.7,0.9,15.4,3.1,8.0,3.0,17.5,0.8,220.6,0.3,0.094,0.085,0.027,0.086,2.4,0.0,0.3,9.0,0.0,1.1,0.04,45.0,0.049,1.3,25.0,0.2,120.0,435.0,0.002,1.4,84.9,0
english muffin mcdonalds,97.0,2.3,1.1,15.4,1.1,2.9,1.5,5.7,0.2,20.7,0.031,0.0,0.3,0.004,0.0,0.2,2.7,0.3,0.036,0.0,0.0,0.3,0.0,166.4,0.08,1.8,13.1,0.3,68.4,73.0,0.0,0.5,0.0,24.548,0
sausage pizza,325.0,14.3,5.8,4.7,2.7,35.5,3.9,13.3,2.7,26.7,0.7,49.9,0.3,0.019,0.4,0.1,0.055,0.2,4.4,0.0,0.099,2.0,0.0,1.1,0.078,167.0,0.1,2.8,27.8,0.4,223.9,228.5,0.003,66.337,0
pepperoni pizza,313.0,13.2,5.7,4.3,2.3,35.5,3.6,13.0,2.6,27.8,0.8,46.4,0.3,0.035,0.5,0.1,0.001,0.2,4.6,0.0,0.093,1.0,0.0,1.0,0.05,169.8,0.1,2.8,26.6,0.4,219.8,216.5,0.022,64.836,0
cheese pizza,285.0,10.4,4.8,2.8,1.8,35.7,3.8,12.2,2.5,18.2,0.6,46.2,0.3,0.001,0.4,0.014,0.023,0.2,4.1,0.0,0.066,1.5,0.0,0.9,0.082,201.2,0.1,2.7,25.7,0.4,231.1,184.0,0.031,61.304,0
wolffish cooked,293.0,7.3,1.1,2.6,2.6,0.0,0.0,53.4,0.0,140.4,0.3,176.7,0.3,0.5,0.063,0.08,0.2,6.2,1.6,1.1,0.0,0.0,0.0,0.0,19.0,0.048,0.3,90.4,0.075,609.3,916.3,0.1,2.4,80.3,0
wolffish raw,294.0,7.3,1.1,2.6,2.6,0.0,0.0,53.6,0.0,140.8,0.3,244.5,0.3,0.6,0.062,0.074,0.2,6.5,1.7,1.2,0.0,0.0,0.0,0.0,18.4,0.028,0.3,91.8,0.033,612.0,918.0,0.1,2.4,79.9,0
sablefish cooked,755.0,59.3,12.4,31.2,7.9,0.0,0.0,51.9,0.0,190.3,0.2,189.8,0.3,0.4,0.085,0.046,0.3,15.5,2.6,1.0,0.0,0.0,0.0,0.0,135.9,0.013,5.0,214.4,0.095,649.3,1386.2,0.1,1.2,252.4,0
eel cooked,67.0,4.2,0.9,2.6,0.3,0.0,0.0,6.7,0.0,45.6,0.069,16.8,0.3,0.008,0.074,0.058,0.066,1.3,0.067,0.031,0.5,0.0,0.0,0.0,7.4,0.075,0.2,7.4,0.058,78.4,98.8,0.01,0.6,19.3,0
fontina cheese,420.0,33.6,20.7,9.4,1.8,1.7,1.7,27.6,0.0,125.3,0.9,41.0,0.3,0.018,0.1,0.044,0.2,0.2,0.5,0.072,0.0,0.044,0.3,0.021,594.0,0.087,0.2,15.1,0.03,373.7,69.1,0.052,3.8,657.4,0
colby cheese,445.0,36.3,22.8,10.5,1.1,2.9,0.6,26.8,0.0,107.4,0.7,43.2,0.3,0.029,0.071,0.089,0.4,0.1,0.2,0.084,0.0,0.053,0.3,0.073,774.1,0.047,0.9,29.4,0.01,516.4,143.5,0.023,3.5,841.3,0
lamb kidneys cooked,349.0,9.2,3.1,2.0,1.7,2.5,0.0,60.3,0.0,1440.8,0.4,179.6,0.3,0.9,0.2,0.2,5.3,15.3,5.2,0.3,30.6,0.0,0.0,0.0,45.9,0.9,31.6,51.0,0.4,739.5,453.9,0.6,9.7,180.4,0
quail meat cooked,1028.0,63.9,17.9,22.2,15.8,0.0,0.0,113.7,0.0,389.6,0.2,271.8,0.3,1.0,0.098,0.02,1.4,35.9,0.0,2.8,10.4,0.003,3.2,0.074,68.0,2.7,20.1,99.7,0.0,1263.9,978.5,0.063,14.0,276.4,0
goose meat raw,6077.0,550.7,160.2,291.1,61.6,0.0,0.0,259.8,0.0,1310.4,1.2,813.4,0.3,1.4,0.094,0.049,4.0,59.1,21.2,6.4,68.8,0.0,0.0,0.0,196.6,4.4,41.0,294.8,0.3,3832.9,5045.0,0.2,28.2,1117.2,0
white sauce,368.0,26.6,7.1,11.1,7.2,22.9,11.0,9.6,0.5,17.5,0.9,187.2,0.3,0.2,0.018,0.055,0.5,1.0,0.8,0.1,2.0,0.012,0.7,0.034,295.0,0.033,0.8,35.0,0.1,245.0,390.0,0.073,1.0,357.7,0
cream cheese,51.0,5.0,2.9,1.3,0.2,0.8,0.5,0.9,0.0,14.6,0.016,7.6,0.2,0.033,0.064,0.092,0.097,0.084,0.052,0.096,0.004,0.0,0.0,0.1,0.008,14.1,0.082,0.027,1.3,0.091,15.5,19.1,0.039,7.07,0
neufchatel cheese,215.0,19.4,10.9,4.9,0.8,3.1,2.7,7.8,0.0,62.9,0.3,53.6,0.2,0.099,0.079,0.09,0.1,0.2,0.5,0.078,0.0,0.0,0.3,0.045,99.5,0.034,0.1,8.5,0.088,117.3,129.2,0.054,0.7,130.1,0
provolone cheese reduced fat,310.0,19.9,12.8,5.5,0.6,4.0,0.6,27.9,0.0,62.2,1.0,57.2,0.2,0.05,0.063,0.079,0.4,0.2,0.5,0.061,0.0,0.027,0.2,0.076,854.3,0.077,0.6,31.6,0.096,560.5,155.9,0.054,3.6,906.9,0
roquefort cheese,314.0,26.0,16.4,7.2,1.1,1.7,0.0,18.3,0.0,76.5,1.5,33.5,0.2,0.092,0.037,0.002,0.5,0.6,1.5,0.1,0.0,0.0,0.0,0.0,562.7,0.005,0.5,25.5,0.036,333.2,77.4,0.081,1.8,609.4,0
queso blanco cheese,366.0,28.7,16.1,7.6,1.4,3.0,2.1,24.0,0.0,82.6,0.8,57.5,0.2,0.097,0.0,0.022,0.3,0.038,0.5,0.1,0.0,0.05,0.6,0.061,814.2,0.098,0.2,34.2,0.067,551.1,148.7,0.016,3.6,870.3,0
queso seco cheese,315.0,23.6,13.3,6.2,1.2,2.0,0.5,23.8,0.0,75.7,1.8,40.9,0.2,0.038,0.0,0.01,0.2,0.027,0.4,0.049,0.0,0.032,0.5,0.045,641.2,0.091,0.2,26.2,0.083,460.8,112.5,0.048,3.2,691.0,0
mexican cheese,316.0,21.7,13.0,5.6,0.8,3.8,0.6,27.7,0.0,69.4,0.9,54.0,0.2,0.091,0.027,0.05,0.3,0.017,0.0,0.04,0.0,0.087,0.2,0.073,1283.5,0.034,0.1,39.2,0.0,653.0,104.2,0.006,4.8,1337.0,0
baked potato with cheese sauce bacon,451.0,25.9,10.1,9.7,4.8,44.4,0.0,18.4,0.0,29.9,1.0,194.4,0.2,0.3,0.011,0.007,0.2,4.0,1.3,0.7,28.7,0.0,0.0,0.0,308.0,0.6,3.1,68.8,0.5,346.8,1178.1,0.01,2.2,428.7,0
bagel with ham egg cheese,483.0,18.5,7.9,5.7,3.3,52.4,7.0,26.7,0.4,242.6,1.3,88.7,0.2,0.7,0.1,0.048,0.6,6.0,1.4,0.1,0.0,0.001,1.2,0.018,185.3,0.4,4.1,40.1,0.4,397.3,261.7,0.098,2.4,287.6,0
corn rice,110.0,0.3,0.02,0.0,0.1,25.2,3.0,1.8,0.4,0.0,0.2,1.1,0.2,1.8,0.0,0.0,1.1,8.6,0.007,1.7,11.2,0.0,0.035,0.0,2.9,0.013,9.9,5.5,0.2,22.3,30.5,0.043,2.2,51.9,0
baked potato with sour cream,393.0,22.3,10.0,7.9,3.3,50.0,0.0,6.7,0.0,24.2,0.2,209.7,0.2,0.3,0.086,0.009,0.2,3.7,1.5,0.8,33.8,0.0,0.0,0.0,105.7,0.7,3.1,69.5,0.6,184.2,1383.2,0.088,0.9,221.8,0
spinach souffle,230.0,17.6,10.1,5.0,1.0,8.0,2.5,10.7,1.0,160.5,0.8,96.2,0.2,0.1,0.025,0.061,0.4,0.7,0.6,0.1,9.9,0.063,1.3,0.2,224.4,0.093,1.6,40.8,0.4,189.0,314.2,0.01,1.2,273.4,0
